Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Cindy Novarita2024,1,tidak bisa log in trus,2025-09-07 14:45:42,,1,d6d366e5-1c5a-4c7e-94c2-65c82af864e8,tidak bisa log in trus,"['tidak', 'bisa', 'log', 'in', 'trus']","['tidak', 'bisa', 'log', 'in', 'tru']","['tidak', 'bisa', 'log', 'tru']",tidak bisa log tru,"[('tidak', 'bisa'), ('bisa', 'log'), ('log', 'tru')]","[('tidak', 'bisa', 'log'), ('bisa', 'log', 'tru')]"
Setiani Efrata,3,kok dari semalam mau nonton di Netflix eror ya dibuat? ini apa yg salah ya? mohon bantuannya,2025-09-07 12:20:00,,0,da32816f-57f3-486b-9e25-c4174f28c974,kok dari semalam mau nonton di netflix eror ya dibuat? ini apa yg salah ya? mohon bantuannya,"['kok', 'dari', 'semalam', 'mau', 'nonton', 'di', 'Netflix', 'eror', 'ya', 'dibuat', '?', 'ini', 'apa', 'yg', 'salah', 'ya', '?', 'mohon', 'bantuannya']","['kok', 'dari', 'semalam', 'mau', 'nonton', 'di', 'netflix', 'eror', 'ya', 'dibuat', '?', 'ini', 'apa', 'yg', 'salah', 'ya', '?', 'mohon', 'bantuannya']","['kok', 'dari', 'semalam', 'mau', 'nonton', 'di', 'netflix', 'eror', 'ya', 'dibuat', 'ini', 'apa', 'yg', 'salah', 'ya', 'mohon', 'bantuannya']",kok dari semalam mau nonton netflix eror dibuat ini apa salah mohon bantuannya,"[('kok', 'dari'), ('dari', 'semalam'), ('semalam', 'mau'), ('mau', 'nonton'), ('nonton', 'di'), ('di', 'netflix'), ('netflix', 'eror'), ('eror', 'ya'), ('ya', 'dibuat'), ('dibuat', 'ini'), ('ini', 'apa'), ('apa', 'yg'), ('yg', 'salah'), ('salah', 'ya'), ('ya', 'mohon'), ('mohon', 'bantuannya')]","[('kok', 'dari', 'semalam'), ('dari', 'semalam', 'mau'), ('semalam', 'mau', 'nonton'), ('mau', 'nonton', 'di'), ('nonton', 'di', 'netflix'), ('di', 'netflix', 'eror'), ('netflix', 'eror', 'ya'), ('eror', 'ya', 'dibuat'), ('ya', 'dibuat', 'ini'), ('dibuat', 'ini', 'apa'), ('ini', 'apa', 'yg'), ('apa', 'yg', 'salah'), ('yg', 'salah', 'ya'), ('salah', 'ya', 'mohon'), ('ya', 'mohon', 'bantuannya')]"
Srimulya Srimulyaningsih,5,Alhamdulillah filmnya bagus2,2025-09-07 12:12:30,,0,fc47f6d2-69df-4fe5-ae11-8d430ad65c89,alhamdulillah filmnya bagus2,"['Alhamdulillah', 'filmnya', 'bagus2']","['alhamdulillah', 'filmnya', 'bagus2']","['alhamdulillah', 'filmnya', 'bagus2']",alhamdulillah filmnya bagus2,"[('alhamdulillah', 'filmnya'), ('filmnya', 'bagus2')]","[('alhamdulillah', 'filmnya', 'bagus2')]"
Zidane Abimanyu,3,oke tapi film nya kurang lengkap entah knp di akun saya yang tayang hanya sedikit dan banyak film bagus tidak bisa di tampilkan,2025-09-07 12:06:06,,0,e8ee8edc-2910-42ef-90a8-27db07282a93,oke tapi film nya kurang lengkap entah knp di akun saya yang tayang hanya sedikit dan banyak film bagus tidak bisa di tampilkan,"['oke', 'tapi', 'film', 'nya', 'kurang', 'lengkap', 'entah', 'knp', 'di', 'akun', 'saya', 'yang', 'tayang', 'hanya', 'sedikit', 'dan', 'banyak', 'film', 'bagus', 'tidak', 'bisa', 'di', 'tampilkan']","['oke', 'tapi', 'film', 'nya', 'kurang', 'lengkap', 'entah', 'knp', 'di', 'akun', 'saya', 'yang', 'tayang', 'hanya', 'sedikit', 'dan', 'banyak', 'film', 'bagu', 'tidak', 'bisa', 'di', 'tampilkan']","['oke', 'tapi', 'film', 'nya', 'kurang', 'lengkap', 'entah', 'knp', 'di', 'akun', 'saya', 'yang', 'tayang', 'hanya', 'sedikit', 'dan', 'banyak', 'film', 'bagu', 'tidak', 'bisa', 'di', 'tampilkan']",oke tapi film nya kurang lengkap entah knp akun saya yang tayang hanya sedikit dan banyak film bagu tidak bisa tampilkan,"[('oke', 'tapi'), ('tapi', 'film'), ('film', 'nya'), ('nya', 'kurang'), ('kurang', 'lengkap'), ('lengkap', 'entah'), ('entah', 'knp'), ('knp', 'di'), ('di', 'akun'), ('akun', 'saya'), ('saya', 'yang'), ('yang', 'tayang'), ('tayang', 'hanya'), ('hanya', 'sedikit'), ('sedikit', 'dan'), ('dan', 'banyak'), ('banyak', 'film'), ('film', 'bagu'), ('bagu', 'tidak'), ('tidak', 'bisa'), ('bisa', 'di'), ('di', 'tampilkan')]","[('oke', 'tapi', 'film'), ('tapi', 'film', 'nya'), ('film', 'nya', 'kurang'), ('nya', 'kurang', 'lengkap'), ('kurang', 'lengkap', 'entah'), ('lengkap', 'entah', 'knp'), ('entah', 'knp', 'di'), ('knp', 'di', 'akun'), ('di', 'akun', 'saya'), ('akun', 'saya', 'yang'), ('saya', 'yang', 'tayang'), ('yang', 'tayang', 'hanya'), ('tayang', 'hanya', 'sedikit'), ('hanya', 'sedikit', 'dan'), ('sedikit', 'dan', 'banyak'), ('dan', 'banyak', 'film'), ('banyak', 'film', 'bagu'), ('film', 'bagu', 'tidak'), ('bagu', 'tidak', 'bisa'), ('tidak', 'bisa', 'di'), ('bisa', 'di', 'tampilkan')]"
Ricky Santoni,5,terima kasih,2025-09-07 11:19:08,,0,73f80c42-edf6-4d0f-9f03-784e528e55d0,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih,"[('terima', 'kasih')]",[]
Nadya Shoft,2,tolong diperbaiki lagi. saya gabisa muter vidionya knp ya?,2025-09-07 11:03:58,,0,081fa494-f8a4-4650-b591-0f00c43bfd21,tolong diperbaiki lagi. saya gabisa muter vidionya knp ya?,"['tolong', 'diperbaiki', 'lagi', '.', 'saya', 'gabisa', 'muter', 'vidionya', 'knp', 'ya', '?']","['tolong', 'diperbaiki', 'lagi', '.', 'saya', 'gabisa', 'muter', 'vidionya', 'knp', 'ya', '?']","['tolong', 'diperbaiki', 'lagi', 'saya', 'gabisa', 'muter', 'vidionya', 'knp', 'ya']",tolong diperbaiki lagi saya gabisa muter vidionya knp,"[('tolong', 'diperbaiki'), ('diperbaiki', 'lagi'), ('lagi', 'saya'), ('saya', 'gabisa'), ('gabisa', 'muter'), ('muter', 'vidionya'), ('vidionya', 'knp'), ('knp', 'ya')]","[('tolong', 'diperbaiki', 'lagi'), ('diperbaiki', 'lagi', 'saya'), ('lagi', 'saya', 'gabisa'), ('saya', 'gabisa', 'muter'), ('gabisa', 'muter', 'vidionya'), ('muter', 'vidionya', 'knp'), ('vidionya', 'knp', 'ya')]"
Nurul Izmi,4,suka tp susah loh,2025-09-07 08:35:26,,0,5cccb9ce-525f-4f12-9c59-a873805c3e2a,suka tp susah loh,"['suka', 'tp', 'susah', 'loh']","['suka', 'tp', 'susah', 'loh']","['suka', 'tp', 'susah', 'loh']",suka susah loh,"[('suka', 'tp'), ('tp', 'susah'), ('susah', 'loh')]","[('suka', 'tp', 'susah'), ('tp', 'susah', 'loh')]"
Chelsii Meliana Ririnsia,1,"film nya ga lengkap, mahal",2025-09-07 06:59:18,,0,4dfb6792-5589-42a9-9ccf-0c5e130a6e79,"film nya ga lengkap, mahal","['film', 'nya', 'ga', 'lengkap', ',', 'mahal']","['film', 'nya', 'ga', 'lengkap', ',', 'mahal']","['film', 'nya', 'ga', 'lengkap', 'mahal']",film nya lengkap mahal,"[('film', 'nya'), ('nya', 'ga'), ('ga', 'lengkap'), ('lengkap', 'mahal')]","[('film', 'nya', 'ga'), ('nya', 'ga', 'lengkap'), ('ga', 'lengkap', 'mahal')]"
Fadhil Septian,1,"@🐢aaz🕸🕸, a, aazzazaz",2025-09-07 04:49:04,,0,9b57fc18-a827-47b5-afa5-8e1c9de25da2,"@🐢aaz🕸🕸, a, aazzazaz","['@', '🐢aaz🕸🕸', ',', 'a', ',', 'aazzazaz']","['@', '🐢aaz🕸🕸', ',', 'a', ',', 'aazzazaz']",['aazzazaz'],aazzazaz,[],[]
jamal al-gohom3,5,top,2025-09-07 02:50:05,,0,8303023b-3fb2-44cd-835c-fb1647abb946,top,['top'],['top'],['top'],top,[],[]
M Yoga Prasetyo,1,aplikasi apa coba ga bisa di daftar,2025-09-07 01:25:59,,0,9f89147a-0e96-4845-bdd4-b9865b048d77,aplikasi apa coba ga bisa di daftar,"['aplikasi', 'apa', 'coba', 'ga', 'bisa', 'di', 'daftar']","['aplikasi', 'apa', 'coba', 'ga', 'bisa', 'di', 'daftar']","['aplikasi', 'apa', 'coba', 'ga', 'bisa', 'di', 'daftar']",aplikasi apa coba bisa daftar,"[('aplikasi', 'apa'), ('apa', 'coba'), ('coba', 'ga'), ('ga', 'bisa'), ('bisa', 'di'), ('di', 'daftar')]","[('aplikasi', 'apa', 'coba'), ('apa', 'coba', 'ga'), ('coba', 'ga', 'bisa'), ('ga', 'bisa', 'di'), ('bisa', 'di', 'daftar')]"
desiaratna sari19,4,"iiu, ada uii",2025-09-06 23:24:21,,0,d75b4255-cdf4-4ce6-a465-1b110d3b4c39,"iiu, ada uii","['iiu', ',', 'ada', 'uii']","['iiu', ',', 'ada', 'uii']","['iiu', 'ada', 'uii']",iiu ada uii,"[('iiu', 'ada'), ('ada', 'uii')]","[('iiu', 'ada', 'uii')]"
Ejen Alicia,1,harus bayar dan bagaimana jika orang yang tidak mampu harus bayar lagian orang lain juga bisa nonton di app lain.,2025-09-06 22:30:48,,0,0edf1965-0ae4-4cb1-ad12-8476360d5394,harus bayar dan bagaimana jika orang yang tidak mampu harus bayar lagian orang lain juga bisa nonton di app lain.,"['harus', 'bayar', 'dan', 'bagaimana', 'jika', 'orang', 'yang', 'tidak', 'mampu', 'harus', 'bayar', 'lagian', 'orang', 'lain', 'juga', 'bisa', 'nonton', 'di', 'app', 'lain', '.']","['haru', 'bayar', 'dan', 'bagaimana', 'jika', 'orang', 'yang', 'tidak', 'mampu', 'haru', 'bayar', 'lagian', 'orang', 'lain', 'juga', 'bisa', 'nonton', 'di', 'app', 'lain', '.']","['haru', 'bayar', 'dan', 'bagaimana', 'jika', 'orang', 'yang', 'tidak', 'mampu', 'haru', 'bayar', 'lagian', 'orang', 'lain', 'juga', 'bisa', 'nonton', 'di', 'app', 'lain']",haru bayar dan bagaimana jika orang yang tidak mampu haru bayar lagian orang lain juga bisa nonton app lain,"[('haru', 'bayar'), ('bayar', 'dan'), ('dan', 'bagaimana'), ('bagaimana', 'jika'), ('jika', 'orang'), ('orang', 'yang'), ('yang', 'tidak'), ('tidak', 'mampu'), ('mampu', 'haru'), ('haru', 'bayar'), ('bayar', 'lagian'), ('lagian', 'orang'), ('orang', 'lain'), ('lain', 'juga'), ('juga', 'bisa'), ('bisa', 'nonton'), ('nonton', 'di'), ('di', 'app'), ('app', 'lain')]","[('haru', 'bayar', 'dan'), ('bayar', 'dan', 'bagaimana'), ('dan', 'bagaimana', 'jika'), ('bagaimana', 'jika', 'orang'), ('jika', 'orang', 'yang'), ('orang', 'yang', 'tidak'), ('yang', 'tidak', 'mampu'), ('tidak', 'mampu', 'haru'), ('mampu', 'haru', 'bayar'), ('haru', 'bayar', 'lagian'), ('bayar', 'lagian', 'orang'), ('lagian', 'orang', 'lain'), ('orang', 'lain', 'juga'), ('lain', 'juga', 'bisa'), ('juga', 'bisa', 'nonton'), ('bisa', 'nonton', 'di'), ('nonton', 'di', 'app'), ('di', 'app', 'lain')]"
Ardi Akbar,4,Mantap,2025-09-06 15:51:43,,0,25a85d31-03a6-42c6-90e5-45f733017bbe,mantap,['Mantap'],['mantap'],['mantap'],mantap,[],[]
Roni Ansah,1,aplikasi gajelas mau daftar aja di persulit,2025-09-06 15:36:09,,0,4c07b8d1-d0ac-4726-93c0-5dc0d1676f9c,aplikasi gajelas mau daftar aja di persulit,"['aplikasi', 'gajelas', 'mau', 'daftar', 'aja', 'di', 'persulit']","['aplikasi', 'gajela', 'mau', 'daftar', 'aja', 'di', 'persulit']","['aplikasi', 'gajela', 'mau', 'daftar', 'aja', 'di', 'persulit']",aplikasi gajela mau daftar aja persulit,"[('aplikasi', 'gajela'), ('gajela', 'mau'), ('mau', 'daftar'), ('daftar', 'aja'), ('aja', 'di'), ('di', 'persulit')]","[('aplikasi', 'gajela', 'mau'), ('gajela', 'mau', 'daftar'), ('mau', 'daftar', 'aja'), ('daftar', 'aja', 'di'), ('aja', 'di', 'persulit')]"
Aetheraaa,5,kenapa berbayar si? kan semua yang ada di dunia ini milik Allah,2025-09-06 15:18:32,,0,6b337683-b355-4242-86cd-80c3fde2bb81,kenapa berbayar si? kan semua yang ada di dunia ini milik allah,"['kenapa', 'berbayar', 'si', '?', 'kan', 'semua', 'yang', 'ada', 'di', 'dunia', 'ini', 'milik', 'Allah']","['kenapa', 'berbayar', 'si', '?', 'kan', 'semua', 'yang', 'ada', 'di', 'dunia', 'ini', 'milik', 'allah']","['kenapa', 'berbayar', 'si', 'kan', 'semua', 'yang', 'ada', 'di', 'dunia', 'ini', 'milik', 'allah']",kenapa berbayar kan semua yang ada dunia ini milik allah,"[('kenapa', 'berbayar'), ('berbayar', 'si'), ('si', 'kan'), ('kan', 'semua'), ('semua', 'yang'), ('yang', 'ada'), ('ada', 'di'), ('di', 'dunia'), ('dunia', 'ini'), ('ini', 'milik'), ('milik', 'allah')]","[('kenapa', 'berbayar', 'si'), ('berbayar', 'si', 'kan'), ('si', 'kan', 'semua'), ('kan', 'semua', 'yang'), ('semua', 'yang', 'ada'), ('yang', 'ada', 'di'), ('ada', 'di', 'dunia'), ('di', 'dunia', 'ini'), ('dunia', 'ini', 'milik'), ('ini', 'milik', 'allah')]"
Azhar Isnantio,1,selama saya menggunakan netflix saya sudah bayar tetapi saat saya ingin menonton Kenapa selalu buffering Saya benci,2025-09-06 14:54:24,,1,ab282ce7-a442-4690-ad91-430a33e1f145,selama saya menggunakan netflix saya sudah bayar tetapi saat saya ingin menonton kenapa selalu buffering saya benci,"['selama', 'saya', 'menggunakan', 'netflix', 'saya', 'sudah', 'bayar', 'tetapi', 'saat', 'saya', 'ingin', 'menonton', 'Kenapa', 'selalu', 'buffering', 'Saya', 'benci']","['selama', 'saya', 'menggunakan', 'netflix', 'saya', 'sudah', 'bayar', 'tetapi', 'saat', 'saya', 'ingin', 'menonton', 'kenapa', 'selalu', 'buffer', 'saya', 'benci']","['selama', 'saya', 'menggunakan', 'netflix', 'saya', 'sudah', 'bayar', 'tetapi', 'saat', 'saya', 'ingin', 'menonton', 'kenapa', 'selalu', 'buffer', 'saya', 'benci']",selama saya menggunakan netflix saya sudah bayar tetapi saat saya ingin menonton kenapa selalu buffer saya benci,"[('selama', 'saya'), ('saya', 'menggunakan'), ('menggunakan', 'netflix'), ('netflix', 'saya'), ('saya', 'sudah'), ('sudah', 'bayar'), ('bayar', 'tetapi'), ('tetapi', 'saat'), ('saat', 'saya'), ('saya', 'ingin'), ('ingin', 'menonton'), ('menonton', 'kenapa'), ('kenapa', 'selalu'), ('selalu', 'buffer'), ('buffer', 'saya'), ('saya', 'benci')]","[('selama', 'saya', 'menggunakan'), ('saya', 'menggunakan', 'netflix'), ('menggunakan', 'netflix', 'saya'), ('netflix', 'saya', 'sudah'), ('saya', 'sudah', 'bayar'), ('sudah', 'bayar', 'tetapi'), ('bayar', 'tetapi', 'saat'), ('tetapi', 'saat', 'saya'), ('saat', 'saya', 'ingin'), ('saya', 'ingin', 'menonton'), ('ingin', 'menonton', 'kenapa'), ('menonton', 'kenapa', 'selalu'), ('kenapa', 'selalu', 'buffer'), ('selalu', 'buffer', 'saya'), ('buffer', 'saya', 'benci')]"
Lisa Delisya20,1,"log out terus , makin jelek",2025-09-06 14:46:14,,0,285bab4a-93d8-42d4-8a4c-072117f4e646,"log out terus , makin jelek","['log', 'out', 'terus', ',', 'makin', 'jelek']","['log', 'out', 'teru', ',', 'makin', 'jelek']","['log', 'teru', 'makin', 'jelek']",log teru makin jelek,"[('log', 'teru'), ('teru', 'makin'), ('makin', 'jelek')]","[('log', 'teru', 'makin'), ('teru', 'makin', 'jelek')]"
Ananda Renata,3,"buset baru daptar , sudah kehilangan saldo pertama , akhirnya yang ke 2 bayar lagi , kayak mana lah , rugi lah kalau gitu terus",2025-09-06 10:52:28,,0,c52d14a3-b82d-4f27-94be-240fe6665412,"buset baru daptar , sudah kehilangan saldo pertama , akhirnya yang ke 2 bayar lagi , kayak mana lah , rugi lah kalau gitu terus","['buset', 'baru', 'daptar', ',', 'sudah', 'kehilangan', 'saldo', 'pertama', ',', 'akhirnya', 'yang', 'ke', '2', 'bayar', 'lagi', ',', 'kayak', 'mana', 'lah', ',', 'rugi', 'lah', 'kalau', 'gitu', 'terus']","['buset', 'baru', 'daptar', ',', 'sudah', 'kehilangan', 'saldo', 'pertama', ',', 'akhirnya', 'yang', 'ke', '2', 'bayar', 'lagi', ',', 'kayak', 'mana', 'lah', ',', 'rugi', 'lah', 'kalau', 'gitu', 'teru']","['buset', 'baru', 'daptar', 'sudah', 'kehilangan', 'saldo', 'pertama', 'akhirnya', 'yang', 'ke', '2', 'bayar', 'lagi', 'kayak', 'mana', 'lah', 'rugi', 'lah', 'kalau', 'gitu', 'teru']",buset baru daptar sudah kehilangan saldo pertama akhirnya yang bayar lagi kayak mana lah rugi lah kalau gitu teru,"[('buset', 'baru'), ('baru', 'daptar'), ('daptar', 'sudah'), ('sudah', 'kehilangan'), ('kehilangan', 'saldo'), ('saldo', 'pertama'), ('pertama', 'akhirnya'), ('akhirnya', 'yang'), ('yang', 'ke'), ('ke', '2'), ('2', 'bayar'), ('bayar', 'lagi'), ('lagi', 'kayak'), ('kayak', 'mana'), ('mana', 'lah'), ('lah', 'rugi'), ('rugi', 'lah'), ('lah', 'kalau'), ('kalau', 'gitu'), ('gitu', 'teru')]","[('buset', 'baru', 'daptar'), ('baru', 'daptar', 'sudah'), ('daptar', 'sudah', 'kehilangan'), ('sudah', 'kehilangan', 'saldo'), ('kehilangan', 'saldo', 'pertama'), ('saldo', 'pertama', 'akhirnya'), ('pertama', 'akhirnya', 'yang'), ('akhirnya', 'yang', 'ke'), ('yang', 'ke', '2'), ('ke', '2', 'bayar'), ('2', 'bayar', 'lagi'), ('bayar', 'lagi', 'kayak'), ('lagi', 'kayak', 'mana'), ('kayak', 'mana', 'lah'), ('mana', 'lah', 'rugi'), ('lah', 'rugi', 'lah'), ('rugi', 'lah', 'kalau'), ('lah', 'kalau', 'gitu'), ('kalau', 'gitu', 'teru')]"
Saitama Grub,1,ni aplikasi pemaksaan bgt sih gk di jelasin secara gamblang di aplikasi kalau aplikasi premium melainkan lewat Gmail.,2025-09-06 10:29:34,,0,c78a5ee6-7c5e-4c75-bc17-71e5b4b9db34,ni aplikasi pemaksaan bgt sih gk di jelasin secara gamblang di aplikasi kalau aplikasi premium melainkan lewat gmail.,"['ni', 'aplikasi', 'pemaksaan', 'bgt', 'sih', 'gk', 'di', 'jelasin', 'secara', 'gamblang', 'di', 'aplikasi', 'kalau', 'aplikasi', 'premium', 'melainkan', 'lewat', 'Gmail', '.']","['ni', 'aplikasi', 'pemaksaan', 'bgt', 'sih', 'gk', 'di', 'jelasin', 'secara', 'gamblang', 'di', 'aplikasi', 'kalau', 'aplikasi', 'premium', 'melainkan', 'lewat', 'gmail', '.']","['ni', 'aplikasi', 'pemaksaan', 'bgt', 'sih', 'gk', 'di', 'jelasin', 'secara', 'gamblang', 'di', 'aplikasi', 'kalau', 'aplikasi', 'premium', 'melainkan', 'lewat', 'gmail']",aplikasi pemaksaan bgt sih jelasin secara gamblang aplikasi kalau aplikasi premium melainkan lewat gmail,"[('ni', 'aplikasi'), ('aplikasi', 'pemaksaan'), ('pemaksaan', 'bgt'), ('bgt', 'sih'), ('sih', 'gk'), ('gk', 'di'), ('di', 'jelasin'), ('jelasin', 'secara'), ('secara', 'gamblang'), ('gamblang', 'di'), ('di', 'aplikasi'), ('aplikasi', 'kalau'), ('kalau', 'aplikasi'), ('aplikasi', 'premium'), ('premium', 'melainkan'), ('melainkan', 'lewat'), ('lewat', 'gmail')]","[('ni', 'aplikasi', 'pemaksaan'), ('aplikasi', 'pemaksaan', 'bgt'), ('pemaksaan', 'bgt', 'sih'), ('bgt', 'sih', 'gk'), ('sih', 'gk', 'di'), ('gk', 'di', 'jelasin'), ('di', 'jelasin', 'secara'), ('jelasin', 'secara', 'gamblang'), ('secara', 'gamblang', 'di'), ('gamblang', 'di', 'aplikasi'), ('di', 'aplikasi', 'kalau'), ('aplikasi', 'kalau', 'aplikasi'), ('kalau', 'aplikasi', 'premium'), ('aplikasi', 'premium', 'melainkan'), ('premium', 'melainkan', 'lewat'), ('melainkan', 'lewat', 'gmail')]"
Satrio Kuncoro Nugroho,1,SAYA TIDAK DAPAT MEMUTAR FILM DI HP INFINIX GT 10 PRO! SUDAH COBA BERBAGAI VERSI AKAN TETAPI TETAP TIDAK BISA?! BODOH KALIAN !,2025-09-06 08:37:18,,0,54781ef7-e4ac-46b2-a590-275251148c2b,saya tidak dapat memutar film di hp infinix gt 10 pro! sudah coba berbagai versi akan tetapi tetap tidak bisa?! bodoh kalian !,"['SAYA', 'TIDAK', 'DAPAT', 'MEMUTAR', 'FILM', 'DI', 'HP', 'INFINIX', 'GT', '10', 'PRO', '!', 'SUDAH', 'COBA', 'BERBAGAI', 'VERSI', 'AKAN', 'TETAPI', 'TETAP', 'TIDAK', 'BISA', '?', '!', 'BODOH', 'KALIAN', '!']","['saya', 'tidak', 'dapat', 'memutar', 'film', 'di', 'hp', 'infinix', 'gt', '10', 'pro', '!', 'sudah', 'coba', 'berbagai', 'versi', 'akan', 'tetapi', 'tetap', 'tidak', 'bisa', '?', '!', 'bodoh', 'kalian', '!']","['saya', 'tidak', 'dapat', 'memutar', 'film', 'di', 'hp', 'infinix', 'gt', '10', 'pro', 'sudah', 'coba', 'berbagai', 'versi', 'akan', 'tetapi', 'tetap', 'tidak', 'bisa', 'bodoh', 'kalian']",saya tidak dapat memutar film infinix pro sudah coba berbagai versi akan tetapi tetap tidak bisa bodoh kalian,"[('saya', 'tidak'), ('tidak', 'dapat'), ('dapat', 'memutar'), ('memutar', 'film'), ('film', 'di'), ('di', 'hp'), ('hp', 'infinix'), ('infinix', 'gt'), ('gt', '10'), ('10', 'pro'), ('pro', 'sudah'), ('sudah', 'coba'), ('coba', 'berbagai'), ('berbagai', 'versi'), ('versi', 'akan'), ('akan', 'tetapi'), ('tetapi', 'tetap'), ('tetap', 'tidak'), ('tidak', 'bisa'), ('bisa', 'bodoh'), ('bodoh', 'kalian')]","[('saya', 'tidak', 'dapat'), ('tidak', 'dapat', 'memutar'), ('dapat', 'memutar', 'film'), ('memutar', 'film', 'di'), ('film', 'di', 'hp'), ('di', 'hp', 'infinix'), ('hp', 'infinix', 'gt'), ('infinix', 'gt', '10'), ('gt', '10', 'pro'), ('10', 'pro', 'sudah'), ('pro', 'sudah', 'coba'), ('sudah', 'coba', 'berbagai'), ('coba', 'berbagai', 'versi'), ('berbagai', 'versi', 'akan'), ('versi', 'akan', 'tetapi'), ('akan', 'tetapi', 'tetap'), ('tetapi', 'tetap', 'tidak'), ('tetap', 'tidak', 'bisa'), ('tidak', 'bisa', 'bodoh'), ('bisa', 'bodoh', 'kalian')]"
Lintang,2,ㄩㄩ,2025-09-06 07:33:23,,0,ae3f8892-1075-4529-b67e-6e12f3821b96,ㄩㄩ,['ㄩㄩ'],['ㄩㄩ'],['ㄩㄩ'],,[],[]
Yeheskiel rqq Kiel,1,aplikasi ini sangatlah jelek karena susah masuk nya . dari tadi saya Masuk tidak Mau masuk sampe sekarang . ada apa dengan aplikasi ini?,2025-09-06 07:27:15,,0,83d3d2c0-5d07-40c3-987a-c38654406f03,aplikasi ini sangatlah jelek karena susah masuk nya . dari tadi saya masuk tidak mau masuk sampe sekarang . ada apa dengan aplikasi ini?,"['aplikasi', 'ini', 'sangatlah', 'jelek', 'karena', 'susah', 'masuk', 'nya', '.', 'dari', 'tadi', 'saya', 'Masuk', 'tidak', 'Mau', 'masuk', 'sampe', 'sekarang', '.', 'ada', 'apa', 'dengan', 'aplikasi', 'ini', '?']","['aplikasi', 'ini', 'sangatlah', 'jelek', 'karena', 'susah', 'masuk', 'nya', '.', 'dari', 'tadi', 'saya', 'masuk', 'tidak', 'mau', 'masuk', 'samp', 'sekarang', '.', 'ada', 'apa', 'dengan', 'aplikasi', 'ini', '?']","['aplikasi', 'ini', 'sangatlah', 'jelek', 'karena', 'susah', 'masuk', 'nya', 'dari', 'tadi', 'saya', 'masuk', 'tidak', 'mau', 'masuk', 'samp', 'sekarang', 'ada', 'apa', 'dengan', 'aplikasi', 'ini']",aplikasi ini sangatlah jelek karena susah masuk nya dari tadi saya masuk tidak mau masuk samp sekarang ada apa dengan aplikasi ini,"[('aplikasi', 'ini'), ('ini', 'sangatlah'), ('sangatlah', 'jelek'), ('jelek', 'karena'), ('karena', 'susah'), ('susah', 'masuk'), ('masuk', 'nya'), ('nya', 'dari'), ('dari', 'tadi'), ('tadi', 'saya'), ('saya', 'masuk'), ('masuk', 'tidak'), ('tidak', 'mau'), ('mau', 'masuk'), ('masuk', 'samp'), ('samp', 'sekarang'), ('sekarang', 'ada'), ('ada', 'apa'), ('apa', 'dengan'), ('dengan', 'aplikasi'), ('aplikasi', 'ini')]","[('aplikasi', 'ini', 'sangatlah'), ('ini', 'sangatlah', 'jelek'), ('sangatlah', 'jelek', 'karena'), ('jelek', 'karena', 'susah'), ('karena', 'susah', 'masuk'), ('susah', 'masuk', 'nya'), ('masuk', 'nya', 'dari'), ('nya', 'dari', 'tadi'), ('dari', 'tadi', 'saya'), ('tadi', 'saya', 'masuk'), ('saya', 'masuk', 'tidak'), ('masuk', 'tidak', 'mau'), ('tidak', 'mau', 'masuk'), ('mau', 'masuk', 'samp'), ('masuk', 'samp', 'sekarang'), ('samp', 'sekarang', 'ada'), ('sekarang', 'ada', 'apa'), ('ada', 'apa', 'dengan'), ('apa', 'dengan', 'aplikasi'), ('dengan', 'aplikasi', 'ini')]"
